,task,descrip,vh_actions
0,Browse internet,"I use the computer within my home office to look through the internet. To do this, I use my mouse and keyboard as well as sit in a comfortable chair.",[FIND] <chair> (1.103) [SIT] <chair> (1.103) [FIND] <computer> (1.170) [SWITCHON] <computer> (1.170) [TURNTO] <computer> (1.170) [LOOKAT] <computer> (1.170) [FIND] <keyboard> (1.168) [TYPE] <keyboard> (1.168) [TURNTO] <computer> (1.170) [LOOKAT] <computer> (1.170) [TYPE] <keyboard> (1.168) [TURNTO] <computer> (1.170) [LOOKAT] <computer> (1.170) 
1,Browse internet,"I go in my office, sit at my desk turn on the computer, then type on my keyboard and open my web browser.",[WALK] <home_office> (1.319) [WALK] <desk> (1.357) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [FIND] <keyboard> (1.415) [TYPE] <keyboard> (1.415) 
2,Browse internet,Browsing the world wide web for entertainment,[WALK] <home_office> (1.319) [WALK] <chair> (1.356) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [FIND] <mouse> (1.413) [TOUCH] <mouse> (1.413) [FIND] <keyboard> (1.415) [TYPE] <keyboard> (1.415) 
3,Browse internet,"I go to the living room, where my computer is. I locate it, switch it on and type desired URL adress in the web browser.",[WALK] <home_office> (1.319) [WALK] <computer> (1.417) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [FIND] <keyboard> (1.415) [TYPE] <keyboard> (1.415) 
4,Browse internet,I sit at my computer desk and open the browser.,[WALK] <home_office> (1.319) [WALK] <desk> (1.357) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) 
5,Browse internet,Go to the office an open the computer at the desk,[FIND] <chair> (1.103) [SIT] <chair> (1.103) [FIND] <keyboard> (1.168) [GRAB] <keyboard> (1.168) [FIND] <computer> (1.170) [SWITCHON] <computer> (1.170) 
6,Browse internet,"Switch on computer, find mouse and keyboard and browse mails.",[FIND] <computer> (1.170) [SWITCHON] <computer> (1.170) [FIND] <mouse> (1.166) [FIND] <keyboard> (1.168) [TYPE] <keyboard> (1.168) [GRAB] <mouse> (1.166) [FIND] <mail> (1.1000) [GRAB] <mail> (1.1000) [READ] <mail> (1.1000) 
7,Browse internet,first i will walk into my home office and i needed to know the today's gold prices so wih the help of keyboard and mouse i will browse and find it,[WALK] <home_office> (1.319) [WALK] <chair> (1.356) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [FIND] <keyboard> (1.415) [GRAB] <keyboard> (1.415) [FIND] <mouse> (1.413) [GRAB] <mouse> (1.413) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [TYPE] <keyboard> (1.415) 
8,Browse internet,"stand up, walk to living room, find computer, walk to computer, switch on computer, find mouse, grab mouse, look at button to scroll",[STANDUP] [WALK] <home_office> (1.319) [WALK] <computer> (1.417) [FIND] <computer> (1.417) [WALK] <computer> (1.417) [SWITCHON] <computer> (1.417) [FIND] <mouse> (1.413) [GRAB] <mouse> (1.413) [FIND] <button> (1.1000) [TURNTO] <button> (1.1000) [LOOKAT] <button> (1.1000) 
9,Browse internet,"Turn on computer, pull up browser, browse the internet",[WALK] <home_office> (1.319) [WALK] <computer> (1.417) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) 
